employee_id,first_name,last_name,gender,date_of_birth,address,contact_details,job_details,work_location,reporting_manager,skills,performance_reviews,benefits,emergency_contact,notes
E123456,John,Doe,Male,1992-06-07,"{'street': '425 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'john.doe@example.com', 'phone_number': '+1-555-589-4154'}","{'job_title': 'Software Engineer', 'department': 'IT', 'hire_date': '2009-03-28', 'employment_type': 'Full-Time', 'salary': 145772, 'currency': 'USD'}","{'nearest_office': 'Chicago Office', 'is_remote': False}",M987654,"['Node.js', 'React', 'Kubernetes', 'Flask']","[{'review_date': '2021-06-24', 'rating': 3.9, 'comments': 'Consistently meets performance standards.'}, {'review_date': '2020-06-11', 'rating': 3.4, 'comments': 'Needs improvement in time management.'}]","{'health_insurance': 'Gold Plan', 'retirement_plan': '401K', 'paid_time_off': 28}","{'name': 'Jane Johnson', 'relationship': 'Friend', 'phone_number': '+1-555-332-7968'}",Completed leadership training in 2021.
E123457,Jane,Doe,Female,1961-02-20,"{'street': '671 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'jane.doe@example.com', 'phone_number': '+1-555-393-8012'}","{'job_title': 'Senior Software Engineer', 'department': 'IT', 'hire_date': '2000-06-07', 'employment_type': 'Full-Time', 'salary': 71977, 'currency': 'USD'}","{'nearest_office': 'Tokyo Office', 'is_remote': True}",M987654,"['JavaScript', 'Flask', 'Node.js', 'Python']","[{'review_date': '2023-03-03', 'rating': 4.1, 'comments': 'Needs improvement in time management.'}, {'review_date': '2021-01-26', 'rating': 3.6, 'comments': 'Exceeded expectations in the last project.'}]","{'health_insurance': 'Gold Plan', 'retirement_plan': '401K', 'paid_time_off': 24}","{'name': 'Emily Doe', 'relationship': 'Spouse', 'phone_number': '+1-555-911-1409'}",Received Employee of the Month award in 2022.
E123458,Emily,Smith,Female,1956-10-04,"{'street': '867 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'emily.smith@example.com', 'phone_number': '+1-555-947-7252'}","{'job_title': 'Data Scientist', 'department': 'Data Science', 'hire_date': '2001-04-12', 'employment_type': 'Full-Time', 'salary': 230094, 'currency': 'USD'}","{'nearest_office': 'Singapore Office', 'is_remote': False}",M987655,"['Kubernetes', 'Python', 'JavaScript', 'Docker']","[{'review_date': '2023-08-14', 'rating': 4.1, 'comments': 'Needs improvement in time management.'}, {'review_date': '2019-08-16', 'rating': 3.2, 'comments': 'Consistently meets performance standards.'}]","{'health_insurance': 'Gold Plan', 'retirement_plan': '401K', 'paid_time_off': 19}","{'name': 'Emily Doe', 'relationship': 'Parent', 'phone_number': '+1-555-401-1345'}",Completed leadership training in 2021.
E123459,Michael,Brown,Female,1952-03-19,"{'street': '863 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'michael.brown@example.com', 'phone_number': '+1-555-699-8227'}","{'job_title': 'Product Manager', 'department': 'Product', 'hire_date': '2001-11-14', 'employment_type': 'Full-Time', 'salary': 143378, 'currency': 'USD'}","{'nearest_office': 'San Francisco Office', 'is_remote': False}",M987656,"['SQL', 'Python', 'React', 'Kubernetes']","[{'review_date': '2021-10-10', 'rating': 3.3, 'comments': 'Outstanding performance and dedication.'}, {'review_date': '2021-12-18', 'rating': 4.1, 'comments': 'Outstanding performance and dedication.'}]","{'health_insurance': 'Bronze Plan', 'retirement_plan': '401K', 'paid_time_off': 22}","{'name': 'Robert Smith', 'relationship': 'Parent', 'phone_number': '+1-555-199-1636'}",Received Employee of the Month award in 2022.
E123460,Sarah,Davis,Male,1992-06-15,"{'street': '315 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'sarah.davis@example.com', 'phone_number': '+1-555-286-9151'}","{'job_title': 'Project Manager', 'department': 'Project Management', 'hire_date': '2006-08-19', 'employment_type': 'Full-Time', 'salary': 57978, 'currency': 'USD'}","{'nearest_office': 'San Francisco Office', 'is_remote': True}",M987657,"['Kubernetes', 'Python', 'React', 'SQL']","[{'review_date': '2023-01-11', 'rating': 3.4, 'comments': 'Consistently meets performance standards.'}, {'review_date': '2022-08-05', 'rating': 4.3, 'comments': 'Consistently meets performance standards.'}]","{'health_insurance': 'Silver Plan', 'retirement_plan': '401K', 'paid_time_off': 29}","{'name': 'Robert Smith', 'relationship': 'Friend', 'phone_number': '+1-555-318-4598'}",Completed leadership training in 2021.
E123461,Robert,Johnson,Male,1956-09-12,"{'street': '663 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'robert.johnson@example.com', 'phone_number': '+1-555-187-1305'}","{'job_title': 'UX Designer', 'department': 'Design', 'hire_date': '2014-03-15', 'employment_type': 'Full-Time', 'salary': 100949, 'currency': 'USD'}","{'nearest_office': 'Singapore Office', 'is_remote': False}",M987658,"['React', 'Kubernetes', 'SQL', 'Docker']","[{'review_date': '2022-07-10', 'rating': 3.8, 'comments': 'Exceeded expectations in the last project.'}, {'review_date': '2021-05-28', 'rating': 4.1, 'comments': 'Consistently meets performance standards.'}]","{'health_insurance': 'Silver Plan', 'retirement_plan': '401K', 'paid_time_off': 26}","{'name': 'Emily Smith', 'relationship': 'Friend', 'phone_number': '+1-555-911-6528'}",Actively involved in company hackathons and innovation challenges.
E123462,David,Wilson,Male,1966-10-23,"{'street': '164 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'david.wilson@example.com', 'phone_number': '+1-555-994-3399'}","{'job_title': 'QA Engineer', 'department': 'Quality Assurance', 'hire_date': '2000-12-01', 'employment_type': 'Full-Time', 'salary': 115138, 'currency': 'USD'}","{'nearest_office': 'Toronto Office', 'is_remote': True}",M987659,"['Docker', 'AWS', 'Django', 'Node.js']","[{'review_date': '2023-03-21', 'rating': 3.7, 'comments': 'Exceeded expectations in the last project.'}, {'review_date': '2020-02-17', 'rating': 4.0, 'comments': 'Outstanding performance and dedication.'}]","{'health_insurance': 'Gold Plan', 'retirement_plan': '401K', 'paid_time_off': 22}","{'name': 'Emily Smith', 'relationship': 'Sibling', 'phone_number': '+1-555-479-1934'}",Received Employee of the Month award in 2022.
E123463,Chris,Lee,Female,1994-05-28,"{'street': '754 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'chris.lee@example.com', 'phone_number': '+1-555-523-4901'}","{'job_title': 'DevOps Engineer', 'department': 'Operations', 'hire_date': '2014-10-06', 'employment_type': 'Full-Time', 'salary': 185971, 'currency': 'USD'}","{'nearest_office': 'Singapore Office', 'is_remote': False}",M987660,"['React', 'AWS', 'Docker', 'Kubernetes']","[{'review_date': '2020-04-24', 'rating': 4.7, 'comments': 'Exceeded expectations in the last project.'}, {'review_date': '2021-02-09', 'rating': 3.2, 'comments': 'Exceeded expectations in the last project.'}]","{'health_insurance': 'Bronze Plan', 'retirement_plan': '401K', 'paid_time_off': 22}","{'name': 'Michael Smith', 'relationship': 'Sibling', 'phone_number': '+1-555-162-7202'}",Received Employee of the Month award in 2022.
E123464,Sophia,Garcia,Male,1996-10-19,"{'street': '665 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'sophia.garcia@example.com', 'phone_number': '+1-555-711-3183'}","{'job_title': 'CTO', 'department': 'Executive', 'hire_date': '2006-07-25', 'employment_type': 'Full-Time', 'salary': 69923, 'currency': 'USD'}","{'nearest_office': 'Berlin Office', 'is_remote': True}",,"['JavaScript', 'Django', 'SQL', 'Docker']","[{'review_date': '2020-08-05', 'rating': 4.4, 'comments': 'Needs improvement in time management.'}, {'review_date': '2021-12-25', 'rating': 4.9, 'comments': 'Needs improvement in time management.'}]","{'health_insurance': 'Gold Plan', 'retirement_plan': '401K', 'paid_time_off': 21}","{'name': 'Robert Johnson', 'relationship': 'Spouse', 'phone_number': '+1-555-516-3907'}",Completed leadership training in 2021.
E123465,Olivia,Martinez,Female,1983-07-26,"{'street': '720 Main Street', 'city': 'Springfield', 'state': 'IL', 'postal_code': '62704', 'country': 'USA'}","{'email': 'olivia.martinez@example.com', 'phone_number': '+1-555-481-8608'}","{'job_title': 'CEO', 'department': 'Executive', 'hire_date': '2012-04-05', 'employment_type': 'Full-Time', 'salary': 164342, 'currency': 'USD'}","{'nearest_office': 'Singapore Office', 'is_remote': True}",,"['SQL', 'Node.js', 'Django', 'Docker']","[{'review_date': '2021-11-09', 'rating': 4.1, 'comments': 'Exceeded expectations in the last project.'}, {'review_date': '2020-06-12', 'rating': 4.4, 'comments': 'Exceeded expectations in the last project.'}]","{'health_insurance': 'Bronze Plan', 'retirement_plan': '401K', 'paid_time_off': 23}","{'name': 'Jane Doe', 'relationship': 'Sibling', 'phone_number': '+1-555-301-9670'}",Actively involved in company hackathons and innovation challenges.
